England/ALDP-9E6FFB/2020|OA989963.1|2020-09-24	5.0
England/ALDP-BB49D8/2020|OD903001.1|2020-11-20	5.0
England/LEED-2A9E76/2020|OA971561.1|2020-03-25	5.0
England/LIVE-DC43C6/2020|20-11-10	5.0
England/NORT-283FF7/2020|20-04-28	5.0
England/PHEC-148AC1/2020|20-10-09	5.0
England/QEUH-A0025B/2020|OA998460.1|2020-09-29	5.0
England/QEUH-AF3DF0/2020|OC999279.1|2020-10-30	5.0
England/QEUH-B69969/2020|OC997960.1|2020-11-11	5.0
England/SHEF-C776A/2020|20-06-29	5.0
Scotland/ALDP-A6DC5E/2020|20-10-14	5.0
Switzerland/BL-ETHZ-400101/2020|OE995456.1|2020-12-07	5.0
USA/CA-CDC-22058023/2021|MW696419.1|21-02-09	5.0
USA/CA-CDC-ASC210016735/2021|MW891735.1|21-03-20	5.0
USA/CA-QDX-2083/2020|MW190833.1|20-03-19	5.0
USA/FL-BPHL-2895/2021|MZ286657.1|21-02-22	5.0
USA/FL-CDC-STM-000014219/2021|MW941125.1|21-02-12	5.0
USA/SEARCH-1502-SAN/2020|MT810509.1|20-04-20	5.0
USA/WA-UW297/2020|MT259287.1|20-03-15	5.0
Wales/MILK-973157/2020|OA984592.1|2020-08-20	5.0
